物质,LG浓度,DPPH清除率%均值,标准差
维生素C,-0.975,16.737,7.716974408
维生素C,-1.276,18.083,6.219935203
维生素C,-1.577,8.665,5.888329836
维生素C,-1.876,3.375,4.300064122
维生素C,-2.18,1.632,3.496297799
维生素C,-2.481,0.562,4.489672885
杨梅粉,-0.022,15.871,13.04537773
杨梅粉,-0.323,15.304,13.90375858
杨梅粉,-0.624,12.305,19.33442145
杨梅粉,-0.925,6.371,16.54273205
杨梅粉,-1.226,3.095,10.20191561
杨梅粉,-1.527,1.652,5.976237615
黑枸杞粉,0.009,14.022,28.45481878
黑枸杞粉,-0.292,13.346,27.88271098
黑枸杞粉,-0.593,11.611,28.30187226
黑枸杞粉,-0.894,6.661,27.32811556
黑枸杞粉,-1.196,3.39,18.96784881
黑枸杞粉,-1.497,1.829,10.92622248
余甘子提取物,0.021,15.046,20.87399347
余甘子提取物,-0.28,14.141,20.73834331
余甘子提取物,-0.581,10.999,15.87091316
余甘子提取物,-0.882,5.459,16.61273998
余甘子提取物,-1.183,2.242,11.74197758
余甘子提取物,-1.484,1.252,6.885326975
蓝莓花青素,0.017,14.572,30.72376546
蓝莓花青素,-0.284,13.766,29.97315298
蓝莓花青素,-0.585,10.451,26.11582997
蓝莓花青素,-0.886,4.891,20.96924877
蓝莓花青素,-1.187,1.984,12.32912144
蓝莓花青素,-1.488,1.008,8.44095235
接骨木莓花青素,0.009,13.444,22.63288675
接骨木莓花青素,-0.292,12.552,16.42823904
接骨木莓花青素,-0.593,9.239,18.06954608
接骨木莓花青素,-0.894,3.538,12.99063985
接骨木莓花青素,-1.196,1.358,11.0314911
接骨木莓花青素,-1.497,0.734,6.94340069
桂花果提取物,0.017,12.952,9.466419767
桂花果提取物,-0.284,12.345,10.28947083
桂花果提取物,-0.585,8.569,5.733297105
桂花果提取物,-0.886,2.899,3.182487122
桂花果提取物,-1.187,1.098,7.985519157
桂花果提取物,-1.488,0.641,7.780240749
