物质,lg浓度,吸光度值,标准差,R²值
维生素C,0.033423755,0.384,0.037,0.9835147713426371
维生素C,-0.26760624,0.379,0.025,0.9835147713426371
维生素C,-0.568636236,0.419,0.025,0.9835147713426371
维生素C,-0.869666232,0.44,0.017,0.9835147713426371
维生素C,-1.170696227,0.446,0.017,0.9835147713426371
维生素C,-1.471726223,0.452,0.019,0.9835147713426371
杨梅粉,-0.022,0.208,0.066,0.8539314550400657
杨梅粉,-0.323,0.159,0.066,0.8539314550400657
杨梅粉,-0.624,0.149,0.081,0.8539314550400657
杨梅粉,-0.925,0.28,0.073,0.8539314550400657
杨梅粉,-1.226,0.271,0.046,0.8539314550400657
杨梅粉,-1.527,0.333,0.021,0.8539314550400657
黑枸杞粉,0.009,0.537,0.135,0.7588877383981862
黑枸杞粉,-0.292,0.411,0.106,0.7588877383981862
黑枸杞粉,-0.593,0.325,0.12,0.7588877383981862
黑枸杞粉,-0.894,0.405,0.115,0.7588877383981862
黑枸杞粉,-1.196,0.411,0.082,0.7588877383981862
黑枸杞粉,-1.497,0.416,0.055,0.7588877383981862
余甘子提取物,0.021,0.254,0.096,0.006982497438642321
余甘子提取物,-0.28,0.213,0.093,0.006982497438642321
余甘子提取物,-0.581,0.151,0.076,0.006982497438642321
余甘子提取物,-0.882,0.191,0.071,0.006982497438642321
余甘子提取物,-1.183,0.28,0.048,0.006982497438642321
余甘子提取物,-1.484,0.3596,0.0247,0.006982497438642321
蓝莓花青素,0.017,0.333,0.146,0.42842695810966647
蓝莓花青素,-0.284,0.0,0.121,0.42842695810966647
蓝莓花青素,-0.585,0.26,0.103,0.42842695810966647
蓝莓花青素,-0.886,0.32,0.079,0.42842695810966647
蓝莓花青素,-1.187,0.362,0.046,0.42842695810966647
蓝莓花青素,-1.488,0.398,0.036,0.42842695810966647
接骨木莓花青素,0.009,0.265,0.108,0.9482143651922553
接骨木莓花青素,-0.292,0.239,0.097,0.9482143651922553
接骨木莓花青素,-0.593,0.225,0.085,0.9482143651922553
接骨木莓花青素,-0.894,0.292,0.057,0.9482143651922553
接骨木莓花青素,-1.196,0.354,0.045,0.9482143651922553
接骨木莓花青素,-1.497,0.405,0.024,0.9482143651922553
桂花果提取物,0.017,0.377,0.04,0.992868499690699
桂花果提取物,-0.284,0.377,0.046,0.992868499690699
桂花果提取物,-0.585,0.414,0.026,0.992868499690699
桂花果提取物,-0.886,0.434,0.013,0.992868499690699
桂花果提取物,-1.187,0.43,0.022,0.992868499690699
桂花果提取物,-1.488,0.427,0.024,0.992868499690699
